#Pressure	radius	err	stiffness	err
0.00	1	0	1	0
0.20	1.010902559	0.001483075	1.08805723	0.025787945
0.40	1.019559668	0.000650982	1.144704686	0.03087788
0.60	1.03045358	0.002327518	1.197571999	0.040821711
0.80	1.04167763	0.001341139	1.227224659	0.050072915
1.00	1.057060679	0.002812611	1.283404131	0.063839445
1.20	1.07840449	0.006260268	1.309123864	0.071982675
1.40	1.117307692	0.0	1.310286094	0.0
