#Pressure	radius	err	stiffness	err
0.00	1	0	1	0
0.20	1.008680184	0.000798485	1.117605999	0.002153161
0.40	1.019644099	0.000807164	1.207933961	0.01086015
0.60	1.032435124	0.000804226	1.269072664	0.015789326
0.80	1.04202855	0.000808232	1.299047464	0.015423455
1.00	1.059844912	0.000815807	1.316712871	0.017430582
1.20	1.078119147	0.00366654	1.306608278	0.031729628
1.40	1.111467514	0.006501788	1.286881876	0.035296983
#1.60	1.154868432	0.013126266	1.276223122	0.037384254
